cid,spend
1060,1279
1062,3667
1063,3057
1064,4406
1067,1952
1066,4293
1065,4201
1071,3809
1069,4743
1068,4856
1070,1762
1074,1816
1072,1647
1075,2244
1073,2532
1078,1969
1076,2614
1077,4408
1079,1387
1083,2985
1082,4071
1081,2901
1080,1969
1087,3640
1085,2103
1084,3020
1086,3050
1089,2113
1090,4927
1088,1208
1091,1100
1093,3909
1094,1272
1095,4102
1092,3724
1098,1569
1097,3088
1096,1464
1099,4874
1102,4385
1101,4339
1103,1662
1100,1340
1107,3731
1105,4812
1104,1633
1106,4522
1108,3824
1109,2209
1111,1916
1110,2310
1113,4171
1115,3109
1114,4243
1112,3000
1118,3670
1119,3126
1116,4669
1117,2397
1121,1608
1122,4222
1123,4414
1120,3414
1127,3839
1124,1208
1126,2406
1125,1498
1128,4622
1130,4178
1129,3362
1131,4729
1132,1299
1133,2540
1134,1519
1135,4538
1136,2409
1139,3561
1137,3937
1138,2848
1143,1635
1141,1027
1142,3281
1140,3063
1147,2624
1144,3972
1145,4323
1146,1656
1148,1404
1149,3896
1150,2524
1151,2902
1152,4032
1155,1582
1153,1132
1154,3223
1159,4999
1156,1075
1157,3729
1158,2594
1162,4688
1160,4587
1163,2590
1161,2361
1164,4026
1167,2605
1166,4219
1165,4975
1170,1252
1168,2134
1171,1660
1169,3483
1172,3881
1174,2584
1175,4899
1173,4731
1176,1736
1178,4408
1179,1219
1177,4134
1183,1279
1182,1155
1180,4605
1181,4490
1186,4860
1187,3301
1185,4571
1184,4735
1190,2115
1191,2439
1188,2894
1189,1691
1195,4378
1194,1728
1192,1860
1193,4098
1196,4799
1198,3676
1199,4958
1197,4369
1203,4553
1201,2887
1202,1342
1200,2353
1205,1128
1204,2943
1206,4408
1207,1726
1209,3427
1208,3754
1211,4556
1210,3642
1213,2294
1212,3656
1215,1401
1214,2780
1217,4248
1218,3683
1219,4337
1216,3430
1222,1825
1223,2563
1221,3250
1220,4063
1226,3320
1224,3900
1227,4187
1225,3451
1229,1046
1228,3102
1230,1355
1231,1889
1235,3273
1233,2542
1232,2596
1234,1231
1237,1432
1236,4830
1239,2056
1238,3515
1243,4822
1240,3962
1241,3490
1242,1983
1244,3144
1247,3651
1246,2730
1245,4183
1248,4718
1251,4476
1250,4886
1249,4642
1252,2532
1255,3646
1253,1187
1254,4181
1259,4570
1258,4538
1257,2647
1256,3652
1260,4249
1261,3863
1262,3088
1263,1574
1264,2309
1266,1452
1265,3036
1267,3710
1269,2155
1268,2288
1270,1629
1271,4338
1275,4095
1272,2583
1273,2649
1274,4096
1279,1544
1278,3313
1276,1275
1277,3210
1280,3031
1282,1221
1283,3600
1281,4989
1284,1289
1287,4116
1285,4994
1286,2826
1291,1696
1290,4617
1288,1369
1289,3025
1293,3358
1292,1098
1294,4894
1295,3029
1299,1497
1296,2254
1297,4240
1298,2729
1302,1922
1303,4595
1301,4905
1300,1552
1304,1981
1307,3179
1306,3806
1305,2949
1310,1979
1308,4811
1311,2714
1309,1320
1312,2430
1313,3910
1314,4696
1315,4949
1317,2863
1316,2659
1318,2477
1319,1788
1321,2289
1323,2322
1322,2774
1320,3828
1324,2832
1326,2923
1325,2866
1327,3904
1329,2885
1328,4584
1331,2509
1330,2429
1334,2249
1333,3264
1335,2340
1332,3956
1339,1646
1336,2515
1338,3264
1337,1895
1343,3176
1341,2687
1342,3970
1340,3699
1345,1867
1344,2941
1347,1721
1346,1564
1350,1418
1348,4004
1351,2049
1349,4325
1355,3687
1354,1616
1352,4833
1353,2852
1359,3549
1358,3038
1356,1709
1357,3211
1360,3327
1363,1326
1362,1145
1361,2689
1364,4646
1367,1052
1366,2875
1365,4967
1371,4798
1368,4809
1370,3869
1369,2701
1375,2783
1374,1215
1372,1887
1373,4587
1379,3555
1376,1745
1378,3513
1377,1960
1382,4262
1383,1628
1381,3918
1380,1783
1387,4658
1384,4482
1386,4964
1385,4737
1389,4621
1391,1660
1388,1521
1390,3775
1394,3581
1395,2473
1393,3898
1392,2629
1398,1604
1397,4102
1396,1963
1399,2141

